Internship_ID,Title,Company,Description,Required_Education,Sector,Location,Skill_1,Skill_2,Skill_3,Skill_4
435,Human Resources Intern,SHRIRAM GENERAL INSURANCE COMPANY LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Noida,MS Office,Communication,,
436,Cloud Engineering Intern,APARNA INFRAHOUSING PRIVATE LIMITED (PART IX ),"Work with our cloud infrastructure team to deploy, manage, and monitor cloud services.",B.Tech,IT,Jaipur,AWS,Azure,Docker,Kubernetes
437,Data Analyst Intern,ESCORTS KUBOTA LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
438,Sports Analytics Intern,SAMSUNG R&D INSTITUTE INDIA - BANGALORE PRIVATE LIMITED,Analyze sports data to provide insights to teams and management.,B.Sc (Stats)/B.Tech,Sports,Noida,Statistics,Python,SQL,Data Visualization
439,Data Analyst Intern,HEIDELBERGCEMENT INDIA LIMITED.,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Pune,Python,Pandas,SQL,Tableau
440,Frontend Developer Intern,JSW ENERGY LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Chennai,HTML,CSS,JavaScript,React
441,Data Analyst Intern,SKF INDIA LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
442,Sports Marketing Intern,SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Jaipur,Digital Marketing,Brand Partnerships,Fan Engagement,
443,Sports Management Intern,INOX AIR PRODUCTS PRIVATE LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Hyderabad,Event Planning,Sponsorship,Athlete Management,
444,Human Resources Intern,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Noida,MS Office,Communication,,
445,Real Estate Analyst Intern,NCC LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Pune,Financial Modeling,Market Analysis,Real Estate Valuation,
446,Human Resources Intern,RELIANCE CORPORATE IT PARK LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Noida,MS Office,Communication,,
447,Strategy & Analytics Intern,REDINGTON LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
448,Backend Developer Intern,TRANSMISSION CORPORATION OF TELANGANA LIMITED,"Work on developing server-side logic, APIs, and database integration for our flagship product.",B.Tech,IT,Ahmedabad,Python,Django,SQL,REST APIs
449,HR Generalist Intern,VIACOM 18 MEDIA PRIVATE LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Work From Home,Employee Relations,Onboarding,HR Policies,
450,Real Estate Analyst Intern,FRIGORIFICO ALLANA PRIVATE LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Pune,Financial Modeling,Market Analysis,Real Estate Valuation,
451,Financial Analyst Intern,FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Delhi,Excel,Financial Modeling,Valuation,
452,Recruitment Intern,HP INDIA SALES PRIVATE LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
453,Real Estate Analyst Intern,HERBALIFE INTERNATIONAL INDIA PRIVATE LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Pune,Financial Modeling,Market Analysis,Real Estate Valuation,
454,Data Scientist Intern,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Develop and deploy machine learning models to solve business problems.,B.Tech/M.Tech,Data Science,Work From Home,Python,R,Machine Learning,Statistics
455,Data Analyst Intern,YASHODA HEALTHCARE SERVICES PRIVATE LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
456,Data Analyst Intern,AGROCEL INDUSTRIES PRIVATE LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Pune,Python,Pandas,SQL,Tableau
457,Financial Analyst Intern,3M INDIA LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Delhi,Excel,Financial Modeling,Valuation,
458,Frontend Developer Intern,KNR CONSTRUCTIONS LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Chennai,HTML,CSS,JavaScript,React
459,Frontend Developer Intern,GLENMARK LIFE SCIENCES LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Chennai,HTML,CSS,JavaScript,React
460,Financial Analyst Intern,SUVEN PHARMACEUTICALS LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Delhi,Excel,Financial Modeling,Valuation,
461,Hotel Management Intern,SOCIETE GENERALE SECURITIES INDIA PRIVATE LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Delhi,F&B Management,Housekeeping,Guest Relations,
462,Cloud Engineering Intern,PRAKASH INDUSTRIES LIMITED,"Work with our cloud infrastructure team to deploy, manage, and monitor cloud services.",B.Tech,IT,Jaipur,AWS,Azure,Docker,Kubernetes
463,Social Media Marketing Intern,IREL (INDIA) LIMITED,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Delhi,Facebook Ads,Instagram Marketing,Content Creation,
464,Data Analyst Intern,D B POWER LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
465,Data Analyst Intern,SHARDA CROPCHEM LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
466,Financial Analyst Intern,PIRAMAL PHARMA LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Delhi,Excel,Financial Modeling,Valuation,
467,Strategy & Analytics Intern,TRIVENI ENGINEERING AND INDUSTRIES LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
468,Frontend Developer Intern,NIYOGI ENTERPRISE PRIVATE LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Chennai,HTML,CSS,JavaScript,React
469,Digital Marketing Intern,MICROSOFT CORPORATION (INDIA) PVT LTD,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Ahmedabad,SEM,PPC,Email Marketing,Google Analytics
470,Investment Banking Intern,FIAT INDIA AUTOMOBILES PRIVATE LIMITED,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Hyderabad,Valuation,DCF,M&A,Excel
471,Sports Analytics Intern,MERCEDES-BENZ RESEARCH AND DEVELOPMENT INDIA PRIVATE LIMITED,Analyze sports data to provide insights to teams and management.,B.Sc (Stats)/B.Tech,Sports,Noida,Statistics,Python,SQL,Data Visualization
472,Human Resources Intern,CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Noida,MS Office,Communication,,
473,Frontend Developer Intern,ASIAN FAB TEC LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Chennai,HTML,CSS,JavaScript,React
474,Data Analyst Intern,SIGNIFY INNOVATIONS INDIA LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
475,Financial Analyst Intern,SARDA ENERGY & MINERALS LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Delhi,Excel,Financial Modeling,Valuation,
476,Sports Management Intern,PAGE INDUSTRIES LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Hyderabad,Event Planning,Sponsorship,Athlete Management,
477,Social Media Marketing Intern,SAVEX TECHNOLOGIES PRIVATE LIMITED,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Delhi,Facebook Ads,Instagram Marketing,Content Creation,
478,Recruitment Intern,SCHNEIDER ELECTRIC IT BUSINESS INDIA PRIVATE LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
479,Digital Marketing Intern,THE DHAMRA PORT COMPANY LIMITED,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Ahmedabad,SEM,PPC,Email Marketing,Google Analytics
480,Investment Banking Intern,ROMA BUILDERS PRIVATE LIMITED,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Hyderabad,Valuation,DCF,M&A,Excel
481,Data Analyst Intern,DR. LAL PATHLABS LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
482,Data Analyst Intern,SUMITOMO CHEMICAL INDIA LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Pune,Python,Pandas,SQL,Tableau
483,Financial Analyst Intern,CREDIT SUISSE SERVICES (INDIA) PRIVATE LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Delhi,Excel,Financial Modeling,Valuation,
484,Investment Banking Intern,ASTRAL LIMITED,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Hyderabad,Valuation,DCF,M&A,Excel
485,Sports Management Intern,AVANTI FEEDS LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Hyderabad,Event Planning,Sponsorship,Athlete Management,
486,Human Resources Intern,KAMARAJAR PORT LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Noida,MS Office,Communication,,
487,Strategy & Analytics Intern,KHAZANA JEWELLERY PRIVATE LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
488,HR Generalist Intern,STAR CEMENT LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Work From Home,Employee Relations,Onboarding,HR Policies,
489,Human Resources Intern,ADANI SOLAR ENERGY AP SIX PRIVATE LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Noida,MS Office,Communication,,
490,Recruitment Intern,HARI KRISHNA EXPORTS PRIVATE LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
491,Human Resources Intern,POLYPLEX CORPORATION LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Noida,MS Office,Communication,,
492,Data Analyst Intern,RASHMI METALIKS LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
493,Recruitment Intern,GUJARAT PIPAVAV PORT LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
494,Data Analyst Intern,WEST BENGALSTATE ELECTRICITY TRANSMISSION COMPANY LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Pune,Python,Pandas,SQL,Tableau
495,Sports Management Intern,HATSUN AGRO PRODUCT LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Hyderabad,Event Planning,Sponsorship,Athlete Management,
496,Sports Marketing Intern,FIVE-STAR BUSINESS FINANCE LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Jaipur,Digital Marketing,Brand Partnerships,Fan Engagement,
497,Sports Management Intern,ITC INFOTECH INDIA LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Hyderabad,Event Planning,Sponsorship,Athlete Management,
498,Frontend Developer Intern,IIFL FINANCE LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Chennai,HTML,CSS,JavaScript,React
499,HR Generalist Intern,HALDIRAM FOODS INTERNATIONAL PRIVATE LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Work From Home,Employee Relations,Onboarding,HR Policies,
500,Sports Management Intern,DBS BANK INDIA LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Hyderabad,Event Planning,Sponsorship,Athlete Management,
501,Financial Analyst Intern,BRIGADE ENTERPRISES LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Delhi,Excel,Financial Modeling,Valuation,
502,Technology Consultant Intern,BATA INDIA LTD,Advise clients on technology strategy and help implement new systems.,B.Tech/MCA,Consulting,Jaipur,IT Strategy,System Implementation,Digital Transformation,
503,Strategy & Analytics Intern,OBEROI REALTY LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
504,Data Analyst Intern,FORTIS HEALTHCARE LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
505,Travel Operations Intern,INTERGLOBE AVIATION LIMITED,"Assist with booking, scheduling, and other travel logistics.",B.A. (Tourism),Travel & Hospitality,Ahmedabad,Booking Systems,Itinerary Planning,Vendor Management,
506,Sports Marketing Intern,JOYALUKKAS INDIA LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Jaipur,Digital Marketing,Brand Partnerships,Fan Engagement,
507,Strategy & Analytics Intern,KALYAN JEWELLERS INDIA LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
508,Full Stack Developer Intern,CESC LTD,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Jaipur,JavaScript,Node.js,React,MongoDB
509,Backend Developer Intern,METRO BRANDS LIMITED,"Work on developing server-side logic, APIs, and database integration for our flagship product.",B.Tech,IT,Ahmedabad,Python,Django,SQL,REST APIs
510,Hotel Management Intern,MAYUR UNIQUOTERS LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
511,Recruitment Intern,OMEGA HEALTHCARE MANAGEMENT SERVICES PRIVATE LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
512,Business Intelligence Intern,PC JEWELLER LIMITED,Create dashboards and reports to track key business metrics.,BBA/B.Com,Data Science,Work From Home,Power BI,Tableau,SQL,Data Warehousing
513,Sports Marketing Intern,ASTRAZENECA PHARMA INDIA LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Jaipur,Digital Marketing,Brand Partnerships,Fan Engagement,
514,Digital Marketing Intern,STERLITE POWER TRANSMISSION LIMITED,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Ahmedabad,SEM,PPC,Email Marketing,Google Analytics
515,Sports Management Intern,ASTER DM HEALTHCARE LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Hyderabad,Event Planning,Sponsorship,Athlete Management,
516,Data Analyst Intern,NARAYANA HRUDAYALAYA LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
517,Sports Analytics Intern,ICICI HOME FINANCE COMPANY LIMITED,Analyze sports data to provide insights to teams and management.,B.Sc (Stats)/B.Tech,Sports,Noida,Statistics,Python,SQL,Data Visualization
518,Sports Marketing Intern,MIRZA INTERNATIONAL LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Jaipur,Digital Marketing,Brand Partnerships,Fan Engagement,
519,Strategy & Analytics Intern,RIYA TRAVEL AND TOURS (INDIA) PRIVATE LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
520,Data Analyst Intern,PUMA SPORTS INDIA PRIVATE LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
521,Recruitment Intern,NIKE INDIA PRIVATE LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
522,Data Analyst Intern,RADISSON HOTELS (SOUTH ASIA) PRIVATE LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
523,Data Analyst Intern,MAX HEALTHCARE INSTITUTE LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
524,Investment Banking Intern,EIH ASSOCIATED HOTELS LIMITED,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Hyderabad,Valuation,DCF,M&A,Excel
525,Hotel Management Intern,EXPEDIA ONLINE TRAVEL SERVICES INDIA PRIVATE LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
526,Full Stack Developer Intern,TRIBHOVANDAS BHIMJI ZAVERI LIMITED,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Jaipur,JavaScript,Node.js,React,MongoDB
527,Data Analyst Intern,MANIPAL HOSPITALS PRIVATE LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
528,Hotel Management Intern,BHARTIYA INTERNATIONAL LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
529,Hotel Management Intern,GLOBAL HEALTH LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
530,Financial Analyst Intern,LEMON TREE HOTELS LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Delhi,Excel,Financial Modeling,Valuation,
531,Sports Analytics Intern,THOMAS COOK (INDIA) LIMITED,Analyze sports data to provide insights to teams and management.,B.Sc (Stats)/B.Tech,Sports,Noida,Statistics,Python,SQL,Data Visualization
532,HR Generalist Intern,FARIDA SHOES PRIVATE LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Work From Home,Employee Relations,Onboarding,HR Policies,
533,Sports Analytics Intern,JSW SPORTS PRIVATE LIMITED,Analyze sports data to provide insights to teams and management.,B.Sc (Stats)/B.Tech,Sports,Noida,Statistics,Python,SQL,Data Visualization
534,Sports Analytics Intern,SANSPAREILS GREENLANDS PRIVATE LIMITED,Analyze sports data to provide insights to teams and management.,B.Sc (Stats)/B.Tech,Sports,Noida,Statistics,Python,SQL,Data Visualization
535,Sports Marketing Intern,MAHINDRA LIFESPACE DEVELOPERS LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Jaipur,Digital Marketing,Brand Partnerships,Fan Engagement,
536,Sports Marketing Intern,SOCCER INTERNATIONAL PRIVATE LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Jaipur,Digital Marketing,Brand Partnerships,Fan Engagement,
537,Sports Analytics Intern,AMRAPALI JEWELS PRIVATE LIMITED,Analyze sports data to provide insights to teams and management.,B.Sc (Stats)/B.Tech,Sports,Noida,Statistics,Python,SQL,Data Visualization
538,Investment Banking Intern,KOLTE-PATIL DEVELOPERS LIMITED,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Hyderabad,Valuation,DCF,M&A,Excel
539,Strategy & Analytics Intern,CARATLANE TRADING PRIVATE LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
540,Hotel Management Intern,BOOKING.COM INDIA SUPPORT & MARKETING SERVICES PRIVATE LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
541,Strategy & Analytics Intern,DECATHLON SPORTS INDIA PRIVATE LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
542,Investment Banking Intern,TATA SIA AIRLINES LIMITED,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Hyderabad,Valuation,DCF,M&A,Excel
543,Data Analyst Intern,COSCO (INDIA) LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
544,Financial Analyst Intern,HIDESIGN INDIA PRIVATE LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Delhi,Excel,Financial Modeling,Valuation,
545,Sports Management Intern,SHIV-NARESH SPORTS PRIVATE LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Hyderabad,Event Planning,Sponsorship,Athlete Management,
546,HR Generalist Intern,MARRIOTT HOTELS INDIA PRIVATE LIMITED (TRF.),"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Work From Home,Employee Relations,Onboarding,HR Policies,
547,Frontend Developer Intern,YATRA FOR BUSINESS PRIVATE LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Chennai,HTML,CSS,JavaScript,React
548,Data Analyst Intern,ADIDAS INDIA MARKETING PRIVATE LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
549,Strategy & Analytics Intern,DLF CYBER CITY DEVELOPERS LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
